id,timestamp,from,to,value_ETH
1,1/17/18 5:21 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,2.19
2,1/17/18 5:29 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.1829488
3,1/19/18 11:40 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,1.89
4,1/19/18 11:45 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,1.8829488
5,2/27/18 2:45 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,2.19
6,2/27/18 2:47 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.1829488
7,3/8/18 6:49 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,2.49
8,3/8/18 6:54 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.4829488
9,3/13/18 6:37 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,2.79
10,3/13/18 6:41 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.7829488
11,3/20/18 6:20 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,3.49
12,3/20/18 6:23 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,3.4829488
13,4/8/18 7:14 AM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,4.99
14,4/8/18 7:16 AM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,4.9829488
15,4/9/18 4:48 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,4.99
16,4/9/18 4:52 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,4.9829488
17,4/12/18 9:40 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,1.99
18,4/12/18 9:43 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,1.9829488
19,4/20/18 8:26 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,3.29
20,4/20/18 8:28 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,3.2829488
21,4/24/18 6:55 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,2.79
22,4/24/18 6:59 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.7829488
23,4/26/18 7:50 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,2.99
24,4/26/18 7:53 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.9829488
25,5/8/18 2:23 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,2.69
26,5/8/18 2:27 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.6829488
27,5/9/18 6:47 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e,2.59
28,5/9/18 6:50 PM, 0xa47008c6016cb5adeec5bcab989c9b05ceb7a19e, 0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,2.5829488
29,5/9/18 6:50 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0x964303483c5f76869c5cd38dec6df0ca9ebdb6ce,0.19
30,2/27/18 7:36 PM, 0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296, 0xdbb47c28b86da2dfb2819f728682e62f97ee1e95,0.0195
31,2/28/18 1:35 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xdbb47c28b86da2dfb2819f728682e62f97ee1e95,0.20690517
32,2/28/18 1:53 PM, 0xdbb47c28b86da2dfb2819f728682e62f97ee1e95, 0xf1867df9452ec1bbdf156dc0a863682b3275d4a1,0.21
33,3/28/18 10:16 AM, 0xdbb47c28b86da2dfb2819f728682e62f97ee1e95, 0xf1867df9452ec1bbdf156dc0a863682b3275d4a1,0
34,4/4/18 6:44 AM, 0x10770f6f5b28b152ec3a7644618b1752c82bd2a8, 0xdbb47c28b86da2dfb2819f728682e62f97ee1e95,0.004018117
35,5/9/18 6:21 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xdbb47c28b86da2dfb2819f728682e62f97ee1e95,0.19343939
36,5/9/18 6:53 PM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xdbb47c28b86da2dfb2819f728682e62f97ee1e95,0.07788073
37,5/9/18 6:57 PM, 0xdbb47c28b86da2dfb2819f728682e62f97ee1e95, 0x410eb87cbc78f3d5749e181977f6e055296852b3,0.22
38,4/21/18 6:28 AM, 0x32be343b94f860124dc4fee278fdcbd38c102d88, 0xe2fb4c44a99580e90ac9bf6443d6e2c3a059aa25,0.005
